target_id	length	eff_length	est_counts	tpm
KH.C1.1.v1.A.ND1-1	995	787.417	42.1051	4.37621
KH.C1.1.v1.A.SL2-1	950	742.448	0	0
KH.C1.1.v1.A.SL3-1	984	776.436	0	0
KH.C1.10.v1.A.SL3-1	1956	1748.42	0	0
KH.C1.10.v2.A.SL2-1	1832	1624.42	950.752	47.9003
KH.C1.10.v3.A.ND1-1	1947	1739.42	75.6268	3.55829
KH.C1.100.v1.A.ND1-1	348	160.712	2	1.01848
KH.C1.100.v1.A.nonSL2-1	226	67.6034	0	0
KH.C1.1000.v1.A.SL1-1	3403	3195.42	3605	92.3308
KH.C1.1001.v1.A.ND1-1	1191	983.417	197.119	16.4044
KH.C1.1001.v1.A.SL12-1	1081	873.417	1.71374e-08	1.6058e-09
KH.C1.1001.v1.A.nonSL1-1	1191	983.417	197.119	16.4044
KH.C1.1001.v1.A.nonSL10-1	1064	856.417	1191.97	113.907
KH.C1.1001.v1.A.nonSL11-1	1140	932.417	575.217	50.4882
KH.C1.1001.v1.A.nonSL13-1	1096	888.417	0	0
KH.C1.1001.v1.A.nonSL14-1	1216	1008.42	0	0
KH.C1.1001.v1.A.nonSL15-1	1099	891.417	0	0
KH.C1.1001.v1.A.nonSL2-1	1195	987.417	0.307759	0.0255081
KH.C1.1001.v1.A.nonSL3-1	1153	945.417	1.53738e-07	1.33084e-08
KH.C1.1001.v1.A.nonSL4-1	1098	890.417	0	0
KH.C1.1001.v1.A.nonSL5-1	1149	941.417	0.000131293	1.14138e-05
KH.C1.1001.v1.A.nonSL6-1	1093	885.417	0	0
KH.C1.1001.v1.A.nonSL7-1	1186	978.417	394.268	32.9789
KH.C1.1001.v1.A.nonSL8-1	1157	949.417	0	0
KH.C1.1001.v1.A.nonSL9-1	1091	883.417	0	0
KH.C1.1002.v1.A.ND1-1	547	343.143	1	0.238503
KH.C1.1003.v1.A.ND1-1	1705	1497.42	26	1.42102
KH.C1.1004.v1.A.ND1-1	2124	1916.42	1.72033	0.0734667
KH.C1.1004.v1.A.SL6-1	2141	1933.42	1.34731e-06	5.7031e-08
KH.C1.1004.v1.A.nonSL10-1	2119	1911.42	110.115	4.71478
KH.C1.1004.v1.A.nonSL2-1	2143	1935.42	2.59795e-07	1.09856e-08
KH.C1.1004.v1.A.nonSL3-1	2131	1923.42	0.00518541	0.000220637
KH.C1.1004.v1.A.nonSL4-1	2140	1932.42	3.07018e-06	1.30026e-07
KH.C1.1004.v1.A.nonSL5-1	2139	1931.42	6.99914e-06	2.96577e-07
KH.C1.1004.v1.A.nonSL7-1	1089	881.417	0	0
KH.C1.1004.v1.A.nonSL8-1	2147	1939.42	422.76	17.8398
KH.C1.1004.v1.A.nonSL9-1	2135	1927.42	0.000189856	8.06154e-06
KH.C1.1004.v1.R.ND1-1	2124	1916.42	1.72033	0.0734667
KH.C1.1005.v1.A.SL1-1	5484	5276.42	388.546	6.02659
KH.C1.1005.v2.A.SL2-1	2510	2302.42	184.454	6.55652
KH.C1.1006.v1.A.ND1-1	274	101.519	19	15.3171
KH.C1.1007.v1.A.ND1-1	1056	848.417	0	0
KH.C1.1007.v1.A.nonSL2-1	1079	871.417	141.213	13.2623
KH.C1.1007.v1.R.ND1-1	1056	848.417	0	0
KH.C1.1008.v1.A.ND1-1	1845	1637.42	718.193	35.8964
KH.C1.1008.v1.R.ND1-1	1845	1637.42	718.193	35.8964
KH.C1.1008.v2.A.SL2-1	2045	1837.42	560.412	24.9614
KH.C1.1009.v1.A.SL1-1	2461	2253.42	2488.56	90.3806
KH.C1.101.v1.A.ND2-1	1454	1246.42	0	0
KH.C1.101.v1.A.SL1-1	1221	1013.42	31.4047	2.53615
KH.C1.101.v1.A.nonSL4-1	1479	1271.42	0	0
KH.C1.101.v1.A.nonSL5-1	1475	1267.42	0	0
KH.C1.101.v1.A.nonSL6-1	1360	1152.42	0	0
KH.C1.101.v1.R.ND2-1	1454	1246.42	0	0
KH.C1.101.v2.A.ND3-1	1396	1188.42	355.37	24.4726
KH.C1.101.v2.A.nonSL4-1	1416	1208.42	179.37	12.1479
KH.C1.101.v2.A.nonSL5-1	1412	1204.42	2.48519	0.168869
KH.C1.101.v2.A.nonSL6-1	1297	1089.42	0	0
KH.C1.101.v2.R.ND3-1	1396	1188.42	355.37	24.4726
KH.C1.1010.v1.A.ND1-1	2591	2383.42	111.822	3.83968
KH.C1.1011.v1.A.SL1-1	1588	1380.42	1532	90.8275
KH.C1.1012.v1.A.SL1-1	1096	888.417	614	56.5614
KH.C1.1013.v1.A.ND1-1	720	513.054	788	125.699
KH.C1.1014.v1.A.ND1-1	915	707.517	0	0
KH.C1.1014.v1.A.SL13-1	811	603.633	266.234	36.096
KH.C1.1014.v1.A.SL19-1	54	13.2987	0	0
KH.C1.1014.v1.A.SL22-1	814	606.623	0.102003	0.0137614
KH.C1.1014.v1.A.SL4-1	754	546.86	0	0
KH.C1.1014.v1.A.SL6-1	876	668.528	69.203	8.47177
KH.C1.1014.v1.A.SL7-1	887	679.528	0	0
KH.C1.1014.v1.A.nonSL10-1	855	647.549	2.66706e-05	3.37077e-06
KH.C1.1014.v1.A.nonSL11-1	889	681.528	0	0
KH.C1.1014.v1.A.nonSL12-1	904	696.517	0	0
KH.C1.1014.v1.A.nonSL14-1	841	633.554	0.104312	0.0134747
KH.C1.1014.v1.A.nonSL15-1	844	636.554	5.65151e-05	7.26604e-06
KH.C1.1014.v1.A.nonSL16-1	846	638.549	3.8795e-07	4.97222e-08
KH.C1.1014.v1.A.nonSL17-1	888	680.528	0	0
KH.C1.1014.v1.A.nonSL18-1	850	642.549	0	0
KH.C1.1014.v1.A.nonSL2-1	896	688.517	0	0
KH.C1.1014.v1.A.nonSL20-1	935	727.448	61.7514	6.94726
KH.C1.1014.v1.A.nonSL21-1	910	702.517	0	0
KH.C1.1014.v1.A.nonSL23-1	857	649.549	1.96742e-07	2.47887e-08
KH.C1.1014.v1.A.nonSL3-1	878	670.528	0.595382	0.0726688
KH.C1.1014.v1.A.nonSL5-1	898	690.517	0	0
KH.C1.1014.v1.A.nonSL8-1	899	691.517	0	0
KH.C1.1014.v1.A.nonSL9-1	839	631.554	16.0098	2.07464
KH.C1.1014.v1.R.ND1-1	915	707.517	0	0
KH.C1.1015.v1.A.ND1-1	699	492.203	1.06287	0.176727
KH.C1.1016.v1.A.SL3-1	4056	3848.42	14053.6	298.863
KH.C1.1016.v2.A.SL2-1	4023	3815.42	2890.44	61.9998
KH.C1.1016.v3.A.SL2-2	866	658.549	71.7025	8.91076
KH.C1.1016.v4.A.SL1-1	3837	3629.42	16934.3	381.856
KH.C1.1017.v1.A.SL1-1	4290	4082.42	4017	80.5292
KH.C1.1018.v1.A.ND1-1	888	680.528	13	1.56339
KH.C1.1018.v1.A.nonSL2-1	837	629.559	0	0
KH.C1.1019.v1.A.SL1-1	2712	2504.42	161	5.26124
KH.C1.102.v1.A.ND2-1	1156	948.417	0	0
KH.C1.102.v1.A.SL4-1	1118	910.417	0	0
KH.C1.102.v2.A.ND1-1	1399	1191.42	0	0
KH.C1.102.v2.A.SL7-1	1413	1205.42	0	0
KH.C1.102.v2.A.nonSL5-1	1281	1073.42	0	0
KH.C1.102.v2.A.nonSL6-1	1268	1060.42	0	0
KH.C1.102.v2.R.ND1-1	1399	1191.42	0	0
KH.C1.102.v3.A.ND3-1	1305	1097.42	0	0
KH.C1.1020.v1.A.SL1-1	2837	2629.42	525	16.3406
KH.C1.1021.v1.A.ND1-1	2017	1809.42	985	44.5519
KH.C1.1022.v1.A.ND1-1	506	303.901	1.86044	0.501016
KH.C1.1022.v1.A.SL11-1	423	226.72	0	0
KH.C1.1022.v1.A.SL4-1	434	236.689	0	0
KH.C1.1022.v1.A.nonSL10-1	351	163.276	0	0
KH.C1.1022.v1.A.nonSL12-1	324	140.552	68.1396	39.6762
KH.C1.1022.v1.A.nonSL13-1	376	184.796	0	0
KH.C1.1022.v1.A.nonSL14-1	331	146.458	0	0
KH.C1.1022.v1.A.nonSL15-1	327	143.13	0	0
KH.C1.1022.v1.A.nonSL16-1	357	168.394	0	0
KH.C1.1022.v1.A.nonSL17-1	391	197.922	0	0
KH.C1.1022.v1.A.nonSL18-1	408	213.144	0	0
KH.C1.1022.v1.A.nonSL19-1	389	196.138	0	0
KH.C1.1022.v1.A.nonSL2-1	393	199.741	0	0
KH.C1.1022.v1.A.nonSL20-1	374	183.037	0	0
KH.C1.1022.v1.A.nonSL21-1	363	173.581	0	0
KH.C1.1022.v1.A.nonSL3-1	337	151.383	0	0
KH.C1.1022.v1.A.nonSL5-1	335	149.774	0	0
KH.C1.1022.v1.A.nonSL6-1	388	195.271	0	0
