target_id	length	eff_length	est_counts	tpm
KH.C1.1.v1.A.ND1-1	995	798.721	53.2563	5.29152
KH.C1.1.v1.A.SL2-1	950	753.734	19.4538	2.04829
KH.C1.1.v1.A.SL3-1	984	787.734	0.0114688	0.00115543
KH.C1.10.v1.A.SL3-1	1956	1759.72	0	0
KH.C1.10.v2.A.SL2-1	1832	1635.72	792.979	38.4731
KH.C1.10.v3.A.ND1-1	1947	1750.72	30.4473	1.38018
KH.C1.100.v1.A.ND1-1	348	163.702	0	0
KH.C1.100.v1.A.nonSL2-1	226	66.1126	0	0
KH.C1.1000.v1.A.SL1-1	3403	3206.72	3567	88.2767
KH.C1.1001.v1.A.ND1-1	1191	994.721	24.4373	1.94965
KH.C1.1001.v1.A.SL12-1	1081	884.721	1.55433e-07	1.39425e-08
KH.C1.1001.v1.A.nonSL1-1	1191	994.721	24.4373	1.94965
KH.C1.1001.v1.A.nonSL10-1	1064	867.721	1853.71	169.538
KH.C1.1001.v1.A.nonSL11-1	1140	943.721	0.708336	0.0595662
KH.C1.1001.v1.A.nonSL13-1	1096	899.721	0	0
KH.C1.1001.v1.A.nonSL14-1	1216	1019.72	97.5303	7.59037
KH.C1.1001.v1.A.nonSL15-1	1099	902.721	0	0
KH.C1.1001.v1.A.nonSL2-1	1195	998.721	672.175	53.4124
KH.C1.1001.v1.A.nonSL3-1	1153	956.721	5.58357e-06	4.6316e-07
KH.C1.1001.v1.A.nonSL4-1	1098	901.721	1.20494e-08	1.06047e-09
KH.C1.1001.v1.A.nonSL5-1	1149	952.721	1.43744e-06	1.19737e-07
KH.C1.1001.v1.A.nonSL6-1	1093	896.721	0	0
KH.C1.1001.v1.A.nonSL7-1	1186	989.721	0.00331838	0.000266083
KH.C1.1001.v1.A.nonSL8-1	1157	960.721	1.75619e-08	1.4507e-09
KH.C1.1001.v1.A.nonSL9-1	1091	894.721	0	0
KH.C1.1002.v1.A.ND1-1	547	352.429	1	0.225181
KH.C1.1003.v1.A.ND1-1	1705	1508.72	33	1.73584
KH.C1.1004.v1.A.ND1-1	2124	1927.72	3.64402	0.150017
KH.C1.1004.v1.A.SL6-1	2141	1944.72	0.00230155	9.3922e-05
KH.C1.1004.v1.A.nonSL10-1	2119	1922.72	131.59	5.43139
KH.C1.1004.v1.A.nonSL2-1	2143	1946.72	0.00900941	0.00036728
KH.C1.1004.v1.A.nonSL3-1	2131	1934.72	2.84461	0.116683
KH.C1.1004.v1.A.nonSL4-1	2140	1943.72	0.00468279	0.000191194
KH.C1.1004.v1.A.nonSL5-1	2139	1942.72	0.00953119	0.000389351
KH.C1.1004.v1.A.nonSL7-1	1089	892.721	0	0
KH.C1.1004.v1.A.nonSL8-1	2147	1950.72	1135.16	46.1811
KH.C1.1004.v1.A.nonSL9-1	2135	1938.72	0.164175	0.00672043
KH.C1.1004.v1.R.ND1-1	2124	1927.72	3.64402	0.150017
KH.C1.1005.v1.A.SL1-1	5484	5287.72	1137.91	17.0782
KH.C1.1005.v2.A.SL2-1	2510	2313.72	2882.09	98.8555
KH.C1.1006.v1.A.ND1-1	274	101.28	18	14.1043
KH.C1.1007.v1.A.ND1-1	1056	859.721	0	0
KH.C1.1007.v1.A.nonSL2-1	1079	882.721	132.238	11.8887
KH.C1.1007.v1.R.ND1-1	1056	859.721	0	0
KH.C1.1008.v1.A.ND1-1	1845	1648.72	511.496	24.6206
KH.C1.1008.v1.R.ND1-1	1845	1648.72	511.496	24.6206
KH.C1.1008.v2.A.SL2-1	2045	1848.72	2107.54	90.4709
