target_id	length	eff_length	est_counts	tpm
KH.C1.1.v1.A.ND1-1	995	783.598	17.4205	1.49675
KH.C1.1.v1.A.SL2-1	950	738.616	12.5795	1.14663
KH.C1.1.v1.A.SL3-1	984	772.602	0	0
KH.C1.10.v1.A.SL3-1	1956	1744.6	295.456	11.4019
KH.C1.10.v2.A.SL2-1	1832	1620.6	1514.66	62.9245
KH.C1.10.v3.A.ND1-1	1947	1735.6	0	0
KH.C1.100.v1.A.ND1-1	348	157.061	0	0
KH.C1.100.v1.A.nonSL2-1	226	63.749	0	0
KH.C1.1000.v1.A.SL1-1	3403	3191.6	2638	55.6476
KH.C1.1001.v1.A.ND1-1	1191	979.598	0.124757	0.00857428
KH.C1.1001.v1.A.SL12-1	1081	869.598	0	0
KH.C1.1001.v1.A.nonSL1-1	1191	979.598	0.124757	0.00857428
KH.C1.1001.v1.A.nonSL10-1	1064	852.598	941.658	74.3582
KH.C1.1001.v1.A.nonSL11-1	1140	928.598	1.30822e-05	9.48487e-07
KH.C1.1001.v1.A.nonSL13-1	1096	884.598	0	0
KH.C1.1001.v1.A.nonSL14-1	1216	1004.6	0	0
KH.C1.1001.v1.A.nonSL15-1	1099	887.598	0	0
KH.C1.1001.v1.A.nonSL2-1	1195	983.598	220.914	15.1211
KH.C1.1001.v1.A.nonSL3-1	1153	941.598	0	0
KH.C1.1001.v1.A.nonSL4-1	1098	886.598	0	0
KH.C1.1001.v1.A.nonSL5-1	1149	937.598	0	0
KH.C1.1001.v1.A.nonSL6-1	1093	881.598	0	0
KH.C1.1001.v1.A.nonSL7-1	1186	974.598	124.179	8.57835
KH.C1.1001.v1.A.nonSL8-1	1157	945.598	0	0
KH.C1.1001.v1.A.nonSL9-1	1091	879.598	0	0
KH.C1.1002.v1.A.ND1-1	547	339.376	0	0
KH.C1.1003.v1.A.ND1-1	1705	1493.6	6	0.270456
KH.C1.1004.v1.A.ND1-1	2124	1912.6	0	0
KH.C1.1004.v1.A.SL6-1	2141	1929.6	0	0
KH.C1.1004.v1.A.nonSL10-1	2119	1907.6	0	0
KH.C1.1004.v1.A.nonSL2-1	2143	1931.6	0	0
KH.C1.1004.v1.A.nonSL3-1	2131	1919.6	0	0
KH.C1.1004.v1.A.nonSL4-1	2140	1928.6	0	0
KH.C1.1004.v1.A.nonSL5-1	2139	1927.6	0	0
KH.C1.1004.v1.A.nonSL7-1	1089	877.598	0	0
KH.C1.1004.v1.A.nonSL8-1	2147	1935.6	289.979	10.0863
KH.C1.1004.v1.A.nonSL9-1	2135	1923.6	0	0
KH.C1.1004.v1.R.ND1-1	2124	1912.6	0	0
KH.C1.1005.v1.A.SL1-1	5484	5272.6	257.07	3.28252
KH.C1.1005.v2.A.SL2-1	2510	2298.6	115.93	3.39557
KH.C1.1006.v1.A.ND1-1	274	97.9806	4	2.74852
KH.C1.1007.v1.A.ND1-1	1056	844.598	0	0
KH.C1.1007.v1.A.nonSL2-1	1079	867.598	224.246	17.4015
KH.C1.1007.v1.R.ND1-1	1056	844.598	0	0
KH.C1.1008.v1.A.ND1-1	1845	1633.6	370.859	15.2842
KH.C1.1008.v1.R.ND1-1	1845	1633.6	370.859	15.2842
KH.C1.1008.v2.A.SL2-1	2045	1833.6	119.184	4.37616
KH.C1.1009.v1.A.SL1-1	2461	2249.6	1571.51	47.0318
KH.C1.101.v1.A.ND2-1	1454	1242.6	0.0856344	0.00463978
KH.C1.101.v1.A.SL1-1	1221	1009.6	0	0
KH.C1.101.v1.A.nonSL4-1	1479	1267.6	0	0
KH.C1.101.v1.A.nonSL5-1	1475	1263.6	0	0
KH.C1.101.v1.A.nonSL6-1	1360	1148.6	73.6058	4.31444
KH.C1.101.v1.R.ND2-1	1454	1242.6	0.0856344	0.00463978
KH.C1.101.v2.A.ND3-1	1396	1184.6	315.111	17.9091
KH.C1.101.v2.A.nonSL4-1	1416	1204.6	4.89429e-08	2.73544e-09
KH.C1.101.v2.A.nonSL5-1	1412	1200.6	4.34861e-06	2.43856e-07
KH.C1.101.v2.A.nonSL6-1	1297	1085.6	1.26683e-06	7.85652e-08
KH.C1.101.v2.R.ND3-1	1396	1184.6	315.111	17.9091
KH.C1.1010.v1.A.ND1-1	2591	2379.6	47.6134	1.34712
KH.C1.1011.v1.A.SL1-1	1588	1376.6	1626	79.5231
KH.C1.1012.v1.A.SL1-1	1096	884.598	1168	88.8949
KH.C1.1013.v1.A.ND1-1	720	509.351	705.941	93.3107
KH.C1.1014.v1.A.ND1-1	915	703.652	0	0
KH.C1.1014.v1.A.SL13-1	811	599.864	38.6259	4.33517
KH.C1.1014.v1.A.SL19-1	54	15.12	0	0
KH.C1.1014.v1.A.SL22-1	814	602.834	0.0493615	0.00551277
KH.C1.1014.v1.A.SL4-1	754	543.077	8.18729	1.01498
KH.C1.1014.v1.A.SL6-1	876	664.704	0	0
KH.C1.1014.v1.A.SL7-1	887	675.704	0	0
KH.C1.1014.v1.A.nonSL10-1	855	643.728	0	0
KH.C1.1014.v1.A.nonSL11-1	889	677.7	0	0
KH.C1.1014.v1.A.nonSL12-1	904	692.674	2.51103e-06	2.44064e-07
KH.C1.1014.v1.A.nonSL14-1	841	629.764	0	0
KH.C1.1014.v1.A.nonSL15-1	844	632.76	0	0
KH.C1.1014.v1.A.nonSL16-1	846	634.752	0	0
KH.C1.1014.v1.A.nonSL17-1	888	676.704	0	0
KH.C1.1014.v1.A.nonSL18-1	850	638.748	0	0
KH.C1.1014.v1.A.nonSL2-1	896	684.683	15.7855	1.5522
KH.C1.1014.v1.A.nonSL20-1	935	723.63	0	0
KH.C1.1014.v1.A.nonSL21-1	910	698.674	0	0
KH.C1.1014.v1.A.nonSL23-1	857	645.724	0	0
KH.C1.1014.v1.A.nonSL3-1	878	666.704	0	0
KH.C1.1014.v1.A.nonSL5-1	898	686.683	0.30861	0.0302575
KH.C1.1014.v1.A.nonSL8-1	899	687.683	0.0433362	0.00424271
KH.C1.1014.v1.A.nonSL9-1	839	627.764	0	0
KH.C1.1014.v1.R.ND1-1	915	703.652	0	0
KH.C1.1015.v1.A.ND1-1	699	488.504	0	0
KH.C1.1016.v1.A.SL3-1	4056	3844.6	1229.21	21.5256
KH.C1.1016.v2.A.SL2-1	4023	3811.6	4296.39	75.8885
KH.C1.1016.v3.A.SL2-2	866	654.704	48.9533	5.03404
KH.C1.1016.v4.A.SL1-1	3837	3625.6	2256.45	41.9011
KH.C1.1017.v1.A.SL1-1	4290	4078.6	2121	35.0114
KH.C1.1018.v1.A.ND1-1	888	676.704	279	27.7578
KH.C1.1018.v1.A.nonSL2-1	837	625.772	0	0
KH.C1.1019.v1.A.SL1-1	2712	2500.6	104	2.80007
KH.C1.102.v1.A.ND2-1	1156	944.598	0	0
KH.C1.102.v1.A.SL4-1	1118	906.598	11.912	0.884608
KH.C1.102.v2.A.ND1-1	1399	1187.6	0	0
KH.C1.102.v2.A.SL7-1	1413	1201.6	0	0
KH.C1.102.v2.A.nonSL5-1	1281	1069.6	9.65115e-07	6.07489e-08
KH.C1.102.v2.A.nonSL6-1	1268	1056.6	14.088	0.897674
KH.C1.102.v2.R.ND1-1	1399	1187.6	0	0
KH.C1.102.v3.A.ND3-1	1305	1093.6	0	0
KH.C1.1020.v1.A.SL1-1	2837	2625.6	569	14.5903
KH.C1.1021.v1.A.ND1-1	2017	1805.6	1326	49.4427
KH.C1.1022.v1.A.ND1-1	506	299.995	0	0
KH.C1.1022.v1.A.SL11-1	423	222.859	0	0
KH.C1.1022.v1.A.SL4-1	434	233.058	16.8515	4.86804
KH.C1.1022.v1.A.nonSL10-1	351	159.63	0	0
