target_id	length	eff_length	est_counts	tpm
KH.C1.1.v1.A.ND1-1	995	783.932	4.74861e-08	3.99353e-09
KH.C1.1.v1.A.SL2-1	950	738.941	20.3206	1.81298
KH.C1.1.v1.A.SL3-1	984	772.937	22.7366	1.93932
KH.C1.10.v1.A.SL3-1	1956	1744.93	0	0
KH.C1.10.v2.A.SL2-1	1832	1620.93	398.294	16.1997
KH.C1.10.v3.A.ND1-1	1947	1735.93	0	0
KH.C1.100.v1.A.ND1-1	348	155.234	0	0
KH.C1.100.v1.A.nonSL2-1	226	61.9806	0	0
KH.C1.1000.v1.A.SL1-1	3403	3191.93	2693	55.6225
KH.C1.1001.v1.A.ND1-1	1191	979.932	1.21706	0.0818813
KH.C1.1001.v1.A.SL12-1	1081	869.932	2.2698e-06	1.72016e-07
KH.C1.1001.v1.A.nonSL1-1	1191	979.932	1.21706	0.0818813
KH.C1.1001.v1.A.nonSL10-1	1064	852.932	1389.68	107.416
KH.C1.1001.v1.A.nonSL11-1	1140	928.932	429.228	30.4629
KH.C1.1001.v1.A.nonSL13-1	1096	884.932	0	0
KH.C1.1001.v1.A.nonSL14-1	1216	1004.93	0	0
KH.C1.1001.v1.A.nonSL15-1	1099	887.932	0	0
KH.C1.1001.v1.A.nonSL2-1	1195	983.932	552.316	37.0076
KH.C1.1001.v1.A.nonSL3-1	1153	941.932	0.33353	0.0233445
KH.C1.1001.v1.A.nonSL4-1	1098	886.932	0	0
KH.C1.1001.v1.A.nonSL5-1	1149	937.932	0.00602036	0.000423174
KH.C1.1001.v1.A.nonSL6-1	1093	881.932	0	0
KH.C1.1001.v1.A.nonSL7-1	1186	974.932	2.20632e-05	1.49198e-06
KH.C1.1001.v1.A.nonSL8-1	1157	945.932	0.000829883	5.78396e-05
KH.C1.1001.v1.A.nonSL9-1	1091	879.932	0	0
KH.C1.1002.v1.A.ND1-1	547	339.04	9	1.75009
KH.C1.1003.v1.A.ND1-1	1705	1493.93	1	0.0441303
KH.C1.1004.v1.A.ND1-1	2124	1912.93	73.7913	2.54316
KH.C1.1004.v1.A.SL6-1	2141	1929.93	0.000269714	9.2136e-06
KH.C1.1004.v1.A.nonSL10-1	2119	1907.93	712.765	24.6293
KH.C1.1004.v1.A.nonSL2-1	2143	1931.93	6.22867e-05	2.12555e-06
KH.C1.1004.v1.A.nonSL3-1	2131	1919.93	0.420116	0.0144262
KH.C1.1004.v1.A.nonSL4-1	2140	1928.93	0.000561571	1.91936e-05
KH.C1.1004.v1.A.nonSL5-1	2139	1927.93	0.00116969	3.99988e-05
KH.C1.1004.v1.A.nonSL7-1	1089	877.932	78.6046	5.90276
KH.C1.1004.v1.A.nonSL8-1	2147	1935.93	617.209	21.0189
KH.C1.1004.v1.A.nonSL9-1	2135	1923.93	0.0221	0.000757305
KH.C1.1004.v1.R.ND1-1	2124	1912.93	73.7913	2.54316
KH.C1.1005.v1.A.SL1-1	5484	5272.93	4067.29	50.8535
KH.C1.1005.v2.A.SL2-1	2510	2298.93	36.7149	1.05289
KH.C1.1006.v1.A.ND1-1	274	95.6407	1	0.689327
KH.C1.1007.v1.A.ND1-1	1056	844.932	0	0
KH.C1.1007.v1.A.nonSL2-1	1079	867.932	95.9485	7.28821
KH.C1.1007.v1.R.ND1-1	1056	844.932	0	0
KH.C1.1008.v1.A.ND1-1	1845	1633.93	743.49	29.9992
KH.C1.1008.v1.R.ND1-1	1845	1633.93	743.49	29.9992
KH.C1.1008.v2.A.SL2-1	2045	1833.93	962.814	34.6121
KH.C1.1009.v1.A.SL1-1	2461	2249.93	1487	43.5722
KH.C1.101.v1.A.ND2-1	1454	1242.93	0	0
KH.C1.101.v1.A.SL1-1	1221	1009.93	0	0
KH.C1.101.v1.A.nonSL4-1	1479	1267.93	0	0
KH.C1.101.v1.A.nonSL5-1	1475	1263.93	0	0
KH.C1.101.v1.A.nonSL6-1	1360	1148.93	0	0
KH.C1.101.v1.R.ND2-1	1454	1242.93	0	0
KH.C1.101.v2.A.ND3-1	1396	1184.93	155.809	8.66899
KH.C1.101.v2.A.nonSL4-1	1416	1204.93	878.392	48.0612
KH.C1.101.v2.A.nonSL5-1	1412	1200.93	406.989	22.3425
KH.C1.101.v2.A.nonSL6-1	1297	1085.93	0	0
KH.C1.101.v2.R.ND3-1	1396	1184.93	155.809	8.66899
KH.C1.1010.v1.A.ND1-1	2591	2379.93	46.6922	1.29344
KH.C1.1011.v1.A.SL1-1	1588	1376.93	1797	86.0407
KH.C1.1012.v1.A.SL1-1	1096	884.932	2499	186.176
KH.C1.1013.v1.A.ND1-1	720	509.358	7	0.906032
KH.C1.1014.v1.A.ND1-1	915	703.946	18.5897	1.74101
KH.C1.1014.v1.A.SL13-1	811	600.063	561.604	61.7024
KH.C1.1014.v1.A.SL19-1	54	17.3478	0	0
KH.C1.1014.v1.A.SL22-1	814	603.059	0.488205	0.0533716
KH.C1.1014.v1.A.SL4-1	754	543.19	0	0
KH.C1.1014.v1.A.SL6-1	876	664.963	270.9	26.8584
KH.C1.1014.v1.A.SL7-1	887	675.955	4.7273e-06	4.61066e-07
KH.C1.1014.v1.A.nonSL10-1	855	644.012	0	0
KH.C1.1014.v1.A.nonSL11-1	889	677.955	7.22852e-08	7.02938e-09
KH.C1.1014.v1.A.nonSL12-1	904	692.946	2.92538e-06	2.78324e-07
KH.C1.1014.v1.A.nonSL14-1	841	630.044	0	0
KH.C1.1014.v1.A.nonSL15-1	844	633.028	0	0
KH.C1.1014.v1.A.nonSL16-1	846	635.024	0	0
KH.C1.1014.v1.A.nonSL17-1	888	676.955	5.83661e-07	5.6842e-08
KH.C1.1014.v1.A.nonSL18-1	850	639.02	0	0
KH.C1.1014.v1.A.nonSL2-1	896	684.955	39.2991	3.78259
KH.C1.1014.v1.A.nonSL20-1	935	723.946	0	0
KH.C1.1014.v1.A.nonSL21-1	910	698.946	0	0
KH.C1.1014.v1.A.nonSL23-1	857	646.008	0	0
KH.C1.1014.v1.A.nonSL3-1	878	666.959	808.813	79.9498
KH.C1.1014.v1.A.nonSL5-1	898	686.955	0.634805	0.0609229
KH.C1.1014.v1.A.nonSL8-1	899	687.955	0.0810446	0.00776662
KH.C1.1014.v1.A.nonSL9-1	839	628.044	0	0
KH.C1.1014.v1.R.ND1-1	915	703.946	18.5897	1.74101
KH.C1.1015.v1.A.ND1-1	699	488.467	0	0
KH.C1.1016.v1.A.SL3-1	4056	3844.93	44.3719	0.76083
KH.C1.1016.v2.A.SL2-1	4023	3811.93	1523.18	26.3436
KH.C1.1016.v3.A.SL2-2	866	654.996	24.0621	2.42194
KH.C1.1016.v4.A.SL1-1	3837	3625.93	135.383	2.46157
KH.C1.1017.v1.A.SL1-1	4290	4078.93	321	5.18832
KH.C1.1018.v1.A.ND1-1	888	676.955	0	0
KH.C1.1018.v1.A.nonSL2-1	837	626.044	0	0
KH.C1.1019.v1.A.SL1-1	2712	2500.93	9	0.237251
KH.C1.102.v1.A.ND2-1	1156	944.932	0	0
KH.C1.102.v1.A.SL4-1	1118	906.932	0	0
KH.C1.102.v2.A.ND1-1	1399	1187.93	0	0
KH.C1.102.v2.A.SL7-1	1413	1201.93	0	0
KH.C1.102.v2.A.nonSL5-1	1281	1069.93	0	0
KH.C1.102.v2.A.nonSL6-1	1268	1056.93	0	0
KH.C1.102.v2.R.ND1-1	1399	1187.93	0	0
KH.C1.102.v3.A.ND3-1	1305	1093.93	0	0
KH.C1.1020.v1.A.SL1-1	2837	2625.93	330	8.28512
KH.C1.1021.v1.A.ND1-1	2017	1805.93	9078	331.403
KH.C1.1022.v1.A.ND1-1	506	299.438	0	0
KH.C1.1022.v1.A.SL11-1	423	221.51	0	0
KH.C1.1022.v1.A.SL4-1	434	231.639	0	0
